Text,Start,End,Entity
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
Lopressor 75 mg,504,507,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
chloride 20 mEq,539,542,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
Zofran 4 mg,557,560,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
Lexapro 10 mg,944,947,DRUG_DOSE
pain,106,110,DISEASE
fracture,127,135,DISEASE
pain,351,355,DISEASE
fracture,391,399,DISEASE
pain,485,489,DISEASE
pain,533,537,DISEASE
pain,582,586,DISEASE
pain,697,701,DISEASE
meningioma,799,809,DISEASE
depressive symptoms,867,886,DISEASE
depressed,1300,1309,DISEASE
fracture,1403,1411,DISEASE
ideations,1494,1503,DISEASE
ideations,1518,1527,DISEASE
manic,1577,1582,DISEASE
impulsivity,1652,1663,DISEASE
hallucinations,1693,1707,DISEASE
delusions,1723,1732,DISEASE
flashbacks,1800,1810,DISEASE
anxiety,1834,1841,DISEASE
restless,1866,1874,DISEASE
Hypertension,2007,2019,DISEASE
cataracts,2021,2030,DISEASE
osteoporosis,2050,2062,DISEASE
fracture,2112,2120,DISEASE
diabetes,2142,2150,DISEASE
seizures,2185,2193,DISEASE
strokes,2195,2202,DISEASE
aspirin,2271,2278,CHEMICAL
Klonopin,2323,2331,CHEMICAL
digoxin,2352,2359,CHEMICAL
Lexapro,2381,2388,CHEMICAL
TriCor,2407,2413,CHEMICAL
Lasix,2440,2445,CHEMICAL
lidocaine,2487,2496,CHEMICAL
Zestril,2504,2511,CHEMICAL
Lopressor,2540,2549,CHEMICAL
potassium chloride,2677,2695,CHEMICAL
p.o,2703,2706,CHEMICAL
p.o,2733,2736,CHEMICAL
Zofran,2752,2758,CHEMICAL
psychiatric,2940,2951,DISEASE
psychiatric,3002,3013,DISEASE
VP,3178,3180,CHEMICAL
depressed,3827,3836,DISEASE
delusions,3956,3965,DISEASE
ideations,3989,3998,DISEASE
hallucinations,4035,4049,DISEASE
fracture,4348,4356,DISEASE
thoracic compression fractures,4365,4395,DISEASE
depression,4473,4483,DISEASE
"depression disorder.,Axis II",4551,4579,DISEASE
Osteoporosis,4603,4615,DISEASE
hypertension,4617,4629,DISEASE
fracture,4635,4643,DISEASE
diabetes,4654,4662,DISEASE
meningioma,4664,4674,DISEASE
Lexapro,4823,4830,CHEMICAL
TCA,4905,4908,CHEMICAL
depressive,4926,4936,DISEASE
"inpatient psychiatric care.,Thank",4973,5006,DISEASE
Premarin 1.25 mg,312,315,DRUG_DOSE
pain,345,349,DISEASE
nerve block,421,432,DISEASE
pain,472,476,DISEASE
pain,706,710,DISEASE
pain,777,781,DISEASE
pain,882,886,DISEASE
Premarin,1574,1582,CHEMICAL
Elmiron,1598,1605,CHEMICAL
Elavil,1621,1627,CHEMICAL
OxyContin,1646,1655,CHEMICAL
Toprol,1695,1701,CHEMICAL
Compazine,1731,1740,CHEMICAL
morphine,2846,2854,CHEMICAL
pain,2957,2961,DISEASE
lidocaine,3068,3077,CHEMICAL
DMSO,3166,3170,CHEMICAL
Kenalog,3172,3179,CHEMICAL
heparin,3181,3188,CHEMICAL
sodium bicarbonate,3194,3212,CHEMICAL
Elmiron 100 mg,317,320,DRUG_DOSE
pain,345,349,DISEASE
nerve block,421,432,DISEASE
pain,472,476,DISEASE
pain,706,710,DISEASE
pain,777,781,DISEASE
pain,882,886,DISEASE
Premarin,1574,1582,CHEMICAL
Elmiron,1598,1605,CHEMICAL
Elavil,1621,1627,CHEMICAL
OxyContin,1646,1655,CHEMICAL
Toprol,1695,1701,CHEMICAL
Compazine,1731,1740,CHEMICAL
morphine,2846,2854,CHEMICAL
pain,2957,2961,DISEASE
lidocaine,3068,3077,CHEMICAL
DMSO,3166,3170,CHEMICAL
Kenalog,3172,3179,CHEMICAL
heparin,3181,3188,CHEMICAL
sodium bicarbonate,3194,3212,CHEMICAL
Elavil 50 mg,323,326,DRUG_DOSE
pain,345,349,DISEASE
nerve block,421,432,DISEASE
pain,472,476,DISEASE
pain,706,710,DISEASE
pain,777,781,DISEASE
pain,882,886,DISEASE
Premarin,1574,1582,CHEMICAL
Elmiron,1598,1605,CHEMICAL
Elavil,1621,1627,CHEMICAL
OxyContin,1646,1655,CHEMICAL
Toprol,1695,1701,CHEMICAL
Compazine,1731,1740,CHEMICAL
morphine,2846,2854,CHEMICAL
pain,2957,2961,DISEASE
lidocaine,3068,3077,CHEMICAL
DMSO,3166,3170,CHEMICAL
Kenalog,3172,3179,CHEMICAL
heparin,3181,3188,CHEMICAL
sodium bicarbonate,3194,3212,CHEMICAL
OxyContin 10 mg,329,332,DRUG_DOSE
pain,345,349,DISEASE
nerve block,421,432,DISEASE
pain,472,476,DISEASE
pain,706,710,DISEASE
pain,777,781,DISEASE
pain,882,886,DISEASE
Premarin,1574,1582,CHEMICAL
Elmiron,1598,1605,CHEMICAL
Elavil,1621,1627,CHEMICAL
OxyContin,1646,1655,CHEMICAL
Toprol,1695,1701,CHEMICAL
Compazine,1731,1740,CHEMICAL
morphine,2846,2854,CHEMICAL
pain,2957,2961,DISEASE
lidocaine,3068,3077,CHEMICAL
DMSO,3166,3170,CHEMICAL
Kenalog,3172,3179,CHEMICAL
heparin,3181,3188,CHEMICAL
sodium bicarbonate,3194,3212,CHEMICAL
Lidocaine 1.5%,66,69,DRUG_DOSE
INT,196,199,CHEMICAL
Lidocaine,376,385,CHEMICAL
Marcaine,869,877,CHEMICAL
Depo-Medrol,892,903,CHEMICAL
Dilantin 300 mg,205,208,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Haloperidol 1 mg,211,214,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Dexamethasone 4 mg,217,220,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Docusate 100 mg,226,229,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Ibuprofen 600 mg,238,241,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Zantac 150 mg,244,247,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Temodar 100 mg,252,255,DRUG_DOSE
glioblastoma multiforme,179,202,DISEASE
Temodar 100-mg,564,578,CHEMICAL
confusion,623,632,DISEASE
"diagnosis.,SOCIAL",927,944,CHEMICAL
Dilantin,1033,1041,CHEMICAL
Haloperidol,1060,1071,CHEMICAL
Dexamethasone,1086,1099,CHEMICAL
Docusate,1117,1125,CHEMICAL
Ibuprofen,1169,1178,CHEMICAL
Zantac,1197,1203,CHEMICAL
Temodar,1228,1235,CHEMICAL
Mouthwash,1260,1269,CHEMICAL
Tylenol,1282,1289,CHEMICAL
Glioblastoma multiforme,1657,1680,DISEASE
cancer,1714,1720,DISEASE
tumor,1949,1954,DISEASE
Temodar,2080,2087,CHEMICAL
Klonopin 1 mg,327,330,DRUG_DOSE
panic,331,336,DISEASE
sore,799,803,DISEASE
grave disability,938,954,DISEASE
bipolar disorder,977,993,DISEASE
mania,999,1004,DISEASE
depression,1009,1019,DISEASE
anxiety,1025,1032,DISEASE
panic,1037,1042,DISEASE
migraine headaches,1324,1342,DISEASE
allergy,1387,1394,DISEASE
Haldol,1399,1405,CHEMICAL
Klonopin,1693,1701,CHEMICAL
lithium,1742,1749,CHEMICAL
Depakote,1768,1776,CHEMICAL
Seroquel,1796,1804,CHEMICAL
benzodiazepines,2037,2052,CHEMICAL
cocaine,2054,2061,CHEMICAL
primary psychotic symptoms,2202,2228,DISEASE
agitation,2235,2244,DISEASE
psychomotor hyperactivity,2250,2275,DISEASE
psychiatric,2337,2348,DISEASE
bipolar disorder,2521,2537,DISEASE
anxiety,2539,2546,DISEASE
polysubstance abuse,2548,2567,DISEASE
ADHD,2585,2589,DISEASE
polysubstance abuse,2662,2681,DISEASE
depression,2793,2803,DISEASE
anxiety,2809,2816,DISEASE
panic,2821,2826,DISEASE
Polysubstance abuse,2840,2859,DISEASE
benzodiazepines,2861,2876,CHEMICAL
migraine headaches,3009,3027,DISEASE
stepfather,3512,3522,CHEMICAL
lithium 450 mg,336,339,DRUG_DOSE
panic,331,336,DISEASE
sore,799,803,DISEASE
grave disability,938,954,DISEASE
bipolar disorder,977,993,DISEASE
mania,999,1004,DISEASE
depression,1009,1019,DISEASE
anxiety,1025,1032,DISEASE
panic,1037,1042,DISEASE
migraine headaches,1324,1342,DISEASE
allergy,1387,1394,DISEASE
Haldol,1399,1405,CHEMICAL
Klonopin,1693,1701,CHEMICAL
lithium,1742,1749,CHEMICAL
Depakote,1768,1776,CHEMICAL
Seroquel,1796,1804,CHEMICAL
benzodiazepines,2037,2052,CHEMICAL
cocaine,2054,2061,CHEMICAL
primary psychotic symptoms,2202,2228,DISEASE
agitation,2235,2244,DISEASE
psychomotor hyperactivity,2250,2275,DISEASE
psychiatric,2337,2348,DISEASE
bipolar disorder,2521,2537,DISEASE
anxiety,2539,2546,DISEASE
polysubstance abuse,2548,2567,DISEASE
ADHD,2585,2589,DISEASE
polysubstance abuse,2662,2681,DISEASE
depression,2793,2803,DISEASE
anxiety,2809,2816,DISEASE
panic,2821,2826,DISEASE
Polysubstance abuse,2840,2859,DISEASE
benzodiazepines,2861,2876,CHEMICAL
migraine headaches,3009,3027,DISEASE
stepfather,3512,3522,CHEMICAL
Depakote 1000 mg,342,345,DRUG_DOSE
panic,331,336,DISEASE
sore,799,803,DISEASE
grave disability,938,954,DISEASE
bipolar disorder,977,993,DISEASE
mania,999,1004,DISEASE
depression,1009,1019,DISEASE
anxiety,1025,1032,DISEASE
panic,1037,1042,DISEASE
migraine headaches,1324,1342,DISEASE
allergy,1387,1394,DISEASE
Haldol,1399,1405,CHEMICAL
Klonopin,1693,1701,CHEMICAL
lithium,1742,1749,CHEMICAL
Depakote,1768,1776,CHEMICAL
Seroquel,1796,1804,CHEMICAL
benzodiazepines,2037,2052,CHEMICAL
cocaine,2054,2061,CHEMICAL
primary psychotic symptoms,2202,2228,DISEASE
agitation,2235,2244,DISEASE
psychomotor hyperactivity,2250,2275,DISEASE
psychiatric,2337,2348,DISEASE
bipolar disorder,2521,2537,DISEASE
anxiety,2539,2546,DISEASE
polysubstance abuse,2548,2567,DISEASE
ADHD,2585,2589,DISEASE
polysubstance abuse,2662,2681,DISEASE
depression,2793,2803,DISEASE
anxiety,2809,2816,DISEASE
panic,2821,2826,DISEASE
Polysubstance abuse,2840,2859,DISEASE
benzodiazepines,2861,2876,CHEMICAL
migraine headaches,3009,3027,DISEASE
stepfather,3512,3522,CHEMICAL
Seroquel 1000 mg,348,351,DRUG_DOSE
panic,331,336,DISEASE
sore,799,803,DISEASE
grave disability,938,954,DISEASE
bipolar disorder,977,993,DISEASE
mania,999,1004,DISEASE
depression,1009,1019,DISEASE
anxiety,1025,1032,DISEASE
panic,1037,1042,DISEASE
migraine headaches,1324,1342,DISEASE
allergy,1387,1394,DISEASE
Haldol,1399,1405,CHEMICAL
Klonopin,1693,1701,CHEMICAL
lithium,1742,1749,CHEMICAL
Depakote,1768,1776,CHEMICAL
Seroquel,1796,1804,CHEMICAL
benzodiazepines,2037,2052,CHEMICAL
cocaine,2054,2061,CHEMICAL
primary psychotic symptoms,2202,2228,DISEASE
agitation,2235,2244,DISEASE
psychomotor hyperactivity,2250,2275,DISEASE
psychiatric,2337,2348,DISEASE
bipolar disorder,2521,2537,DISEASE
anxiety,2539,2546,DISEASE
polysubstance abuse,2548,2567,DISEASE
ADHD,2585,2589,DISEASE
polysubstance abuse,2662,2681,DISEASE
depression,2793,2803,DISEASE
anxiety,2809,2816,DISEASE
panic,2821,2826,DISEASE
Polysubstance abuse,2840,2859,DISEASE
benzodiazepines,2861,2876,CHEMICAL
migraine headaches,3009,3027,DISEASE
stepfather,3512,3522,CHEMICAL
omeprazole 20 mg,1097,1100,DRUG_DOSE
pain,105,109,DISEASE
pain,154,158,DISEASE
earache,333,340,DISEASE
earache,458,465,DISEASE
trauma,548,554,DISEASE
hypertension,1385,1397,DISEASE
heartburn,1415,1424,DISEASE
otitis,1810,1816,DISEASE
respiratory infections,1843,1865,DISEASE
amoxicillin,1900,1911,CHEMICAL
otitis,1921,1927,DISEASE
Pepcid,2113,2119,CHEMICAL
heartburn,2146,2155,DISEASE
Pepcid,2202,2208,CHEMICAL
sore throats,2266,2278,DISEASE
throat,2320,2326,DISEASE
tenderness,3713,3723,DISEASE
heartburn,3740,3749,DISEASE
hepatosplenomegaly,3840,3858,DISEASE
tenderness,3862,3872,DISEASE
CVA,3878,3881,CHEMICAL
barium,4224,4230,CHEMICAL
peptic ulcer disease/gastritis,4429,4459,DISEASE
gastro esophageal reflux disease,4465,4497,DISEASE
GERD,4499,4503,DISEASE
carbonated beverage syndrome,4508,4536,DISEASE
otitis,4582,4588,DISEASE
penicillin,4604,4614,CHEMICAL
otitis,4717,4723,DISEASE
peptic ulcer disease,4979,4999,DISEASE
pylori,5015,5021,DISEASE
pain,5041,5045,DISEASE
Trauma,5080,5086,DISEASE
Trauma,5089,5095,DISEASE
heartburn,5398,5407,DISEASE
GERD,5506,5510,DISEASE
edema,5626,5631,DISEASE
inflammation,5633,5645,DISEASE
omeprazole,5714,5724,CHEMICAL
heartburn,5803,5812,DISEASE
antacid,5903,5910,CHEMICAL
Xylocaine 1%,182,185,DRUG_DOSE
"Masticatory dysfunction.,POSTOPERATIVE",113,151,DISEASE
Xylocaine,1077,1086,CHEMICAL
"1:100,000 epinephrine",1091,1112,CHEMICAL
palate,1591,1597,DISEASE
titanium,2178,2186,CHEMICAL
platelet-rich,2418,2431,CHEMICAL
Xylocaine,2841,2850,CHEMICAL
"1:100,000 epinephrine",2852,2873,CHEMICAL
titanium,4058,4066,CHEMICAL
blood loss,4524,4534,DISEASE
blood loss,4588,4598,DISEASE
blood loss,4645,4655,DISEASE
epinephrine 7 ml,187,190,DRUG_DOSE
"Masticatory dysfunction.,POSTOPERATIVE",113,151,DISEASE
Xylocaine,1077,1086,CHEMICAL
"1:100,000 epinephrine",1091,1112,CHEMICAL
palate,1591,1597,DISEASE
titanium,2178,2186,CHEMICAL
platelet-rich,2418,2431,CHEMICAL
Xylocaine,2841,2850,CHEMICAL
"1:100,000 epinephrine",2852,2873,CHEMICAL
titanium,4058,4066,CHEMICAL
blood loss,4524,4534,DISEASE
blood loss,4588,4598,DISEASE
blood loss,4645,4655,DISEASE
Naprosyn 375 mg,2356,2359,DRUG_DOSE
Hallux abductovalgus,28,48,DISEASE
bunionette,141,151,DISEASE
Degenerative joint disease,169,195,DISEASE
Rheumatoid,240,250,DISEASE
Hallux abductovalgus,346,366,DISEASE
bunionette,459,469,DISEASE
Degenerative joint disease,487,513,DISEASE
Rheumatoid,558,568,DISEASE
hemi implant,698,710,DISEASE
rheumatoid arthritis,1290,1310,DISEASE
pain,1321,1325,DISEASE
pain,1345,1349,DISEASE
Marcaine,2268,2276,CHEMICAL
lidocaine,2290,2299,CHEMICAL
hypertrophic synovium,3961,3982,DISEASE
hypertrophic exostosis,4058,4080,DISEASE
erosion,4522,4529,DISEASE
hypertrophic synovium,4631,4652,DISEASE
exostosis,4689,4698,DISEASE
lateral exostosis,9734,9751,DISEASE
Tylenol,12434,12441,CHEMICAL
p.o,12461,12464,CHEMICAL
pain,12481,12485,DISEASE
Naprosyn,12490,12498,CHEMICAL
p.o,12506,12509,CHEMICAL
rheumatoid arthritis,12547,12567,DISEASE
Wellbutrin 300 mg,141,144,DRUG_DOSE
prostate,91,99,DISEASE
plasmacytoma,296,308,DISEASE
chest pain,355,365,DISEASE
Wellbutrin,761,771,CHEMICAL
Xanax,786,791,CHEMICAL
omeprazole,835,845,CHEMICAL
fatigue,1512,1519,DISEASE
chest pain,1562,1572,DISEASE
chest pain,1984,1994,DISEASE
chest pain,2093,2103,DISEASE
Xanax 0.25 mg,146,149,DRUG_DOSE
prostate,91,99,DISEASE
plasmacytoma,296,308,DISEASE
chest pain,355,365,DISEASE
Wellbutrin,761,771,CHEMICAL
Xanax,786,791,CHEMICAL
omeprazole,835,845,CHEMICAL
fatigue,1512,1519,DISEASE
chest pain,1562,1572,DISEASE
chest pain,1984,1994,DISEASE
chest pain,2093,2103,DISEASE
omeprazole 20 mg,158,161,DRUG_DOSE
prostate,91,99,DISEASE
plasmacytoma,296,308,DISEASE
chest pain,355,365,DISEASE
Wellbutrin,761,771,CHEMICAL
Xanax,786,791,CHEMICAL
omeprazole,835,845,CHEMICAL
fatigue,1512,1519,DISEASE
chest pain,1562,1572,DISEASE
chest pain,1984,1994,DISEASE
chest pain,2093,2103,DISEASE
iron 240 mg,324,327,DRUG_DOSE
pain,24,28,DISEASE
pain,43,47,DISEASE
cancer,106,112,DISEASE
cancer,289,295,DISEASE
pain,573,577,DISEASE
pain,632,636,DISEASE
pain,660,664,DISEASE
numbness,785,793,DISEASE
pain,841,845,DISEASE
pain,914,918,DISEASE
pain,939,943,DISEASE
pain,1002,1006,DISEASE
right leg pain,1018,1032,DISEASE
pain,1056,1060,DISEASE
pain,1093,1097,DISEASE
cancer,1346,1352,DISEASE
Duragesic,1490,1499,CHEMICAL
iron,1549,1553,CHEMICAL
Paxil,1574,1579,CHEMICAL
Percocet,1597,1605,CHEMICAL
warfarin,1678,1686,CHEMICAL
Neurontin,1766,1775,CHEMICAL
